Driver,Lap,Stationary (s),Pos Before,Pos After,Pos Change,Time Lost (s)
GAS,10,27.38,18,19.0,-1.0,27.83
ZHO,11,24.39,17,18.0,-1.0,25.12
MAG,12,24.69,17,19.0,-2.0,26.93
LAW,13,24.41,15,16.0,-1.0,25.22
HUL,14,26.08,13,17.0,-4.0,27.68
SAR,14,24.7,15,16.0,-1.0,25.88
ALB,15,24.34,9,13.0,-4.0,26.12
RUS,19,24.14,5,10.0,-5.0,24.38
SAI,19,25.17,4,8.0,-4.0,26.23
LEC,20,23.89,3,8.0,-5.0,24.1
STR,20,25.69,13,18.0,-5.0,27.2
VER,20,24.28,1,5.0,-4.0,24.47
ALO,21,24.83,6,12.0,-6.0,25.79
PER,21,23.84,1,7.0,-6.0,23.5
NOR,22,23.7,4,11.0,-7.0,24.0
PIA,23,24.14,3,10.0,-7.0,25.0
OCO,24,24.23,12,19.0,-7.0,25.71
BOT,25,24.66,9,16.0,-7.0,25.04
HAM,27,24.23,5,10.0,-5.0,25.45
GAS,31,24.67,17,19.0,-2.0,24.55
LAW,33,24.28,12,16.0,-4.0,24.38
MAG,33,24.78,18,19.0,-1.0,25.72
ZHO,33,25.92,14,17.0,-3.0,25.71
HUL,39,24.33,14,17.0,-3.0,24.29
OCO,39,,18,,,
PIA,41,31.8,10,14.0,-4.0,34.39
